split_type,epoch,train_mse,val_mse
random,1,15.17871293735504,1.7610946435928345
random,2,1.885488702774048,1.6551236991882323
random,3,1.8057997198104858,1.5837078065872192
random,4,1.7281739797592164,1.5118806343078612
random,5,1.6957851333618164,1.4762483882904052
random,6,1.6518766593933105,1.4583043308258057
random,7,1.5883179378509522,1.4999272537231445
random,8,1.6134033374786376,1.4247828884124756
random,9,1.5949414138793945,1.4890774383544922
random,10,1.6039669008255004,1.401000539779663
random,11,1.567204927444458,1.3909223890304565
random,12,1.5700145282745361,1.4378153676986694
random,13,1.5781369867324828,1.4784441814422606
random,14,1.5384878735542298,1.3873414821624757
random,15,1.5154134454727173,1.36875998210907
random,16,1.5387530784606933,1.365103816986084
random,17,1.533151690006256,1.352714207649231
random,18,1.5018479466438293,1.3751978969573975
random,19,1.5157206945419313,1.4053743753433228
random,20,1.5082078289985656,1.3816824054718018
random,21,1.4441942148208617,1.3053359146118164
random,22,1.4772803945541382,1.4138477945327759
random,23,1.4615559244155885,1.357421594619751
random,24,1.4065447158813476,1.2324876623153687
random,25,1.4242746028900146,1.2298255195617676
random,26,1.3952411255836488,1.2248088121414185
random,27,1.3821297926902771,1.2844990329742432
random,28,1.3829160685539246,1.2102639083862305
random,29,1.375944999217987,1.225158929824829
random,30,1.376941560268402,1.2183652114868164
random,31,1.3490997877120972,1.2720539226531982
random,32,1.3688141813278198,1.2454122714996338
random,33,1.3945310864448548,1.2560630750656128
random,34,1.3639583134651183,1.2848632316589355
random,35,1.3901315417289735,1.1833226556777954
random,36,1.3309017353057861,1.1844144554138183
random,37,1.3295405187606812,1.210465814590454
random,38,1.3553254165649413,1.1790928831100465
random,39,1.3086674451828002,1.1884334831237793
random,40,1.3351302495002746,1.259313175201416
random,41,1.3426526322364807,1.168148431777954
random,42,1.3241994314193726,1.1950894556045533
random,43,1.3120529055595398,1.1617639083862306
random,44,1.3225032410621642,1.2185783281326295
random,45,1.3043985886573792,1.1619813976287843
random,46,1.3168477425575256,1.1595643281936645
random,47,1.313134862422943,1.1740912342071532
random,48,1.308766031742096,1.1618999042510987
random,49,1.33375048160553,1.272925986289978
random,50,1.2852584762573243,1.1602723360061646
random,51,1.2917441844940185,1.1592961282730103
random,52,1.2991854410171508,1.2118214607238769
random,53,1.321124005794525,1.1862176113128662
random,54,1.2992440061569215,1.1579566783905029
random,55,1.288151650428772,1.2265072765350342
random,56,1.3189986090660095,1.1454320058822631
random,57,1.2630988268852235,1.1868903379440308
random,58,1.2888704938888549,1.270124545097351
random,59,1.2874142508506774,1.1478611459732055
random,60,1.2703674030303955,1.2849541206359862
